Template,V1_Base_Text,V1_Perturb1_Text,V1_Perturb1_Changed,V1_Perturb2_Text,V1_Perturb2_Changed,V2_Base_Text,V2_Perturb1_Text,V2_Perturb1_Changed,V2_Perturb2_Text,V2_Perturb2_Changed,num
"I coach on weekends, so please keep my classes on {days} and aim for the {time_of_day}.","I coach on weekends, so please keep my classes on Thursday and aim for the afternoon.","I coach on weekends, so please keep my classes on Tuesday and Wednesday and aim for the afternoon.",{days},"I coach on weekends, so please keep my classes on Tuesday and Wednesday and aim for the morning.",{days};{time_of_day},"I coach on weekends, so please keep my classes on Friday and aim for the morning.","I coach on weekends, so please keep my classes on Wednesday and Friday and aim for the morning.",{days},"I coach on weekends, so please keep my classes on Wednesday and Friday and aim for the evening.",{time_of_day};{days},1
I'm rebuilding my routinekeep me on {days} with at most {number_of_classes} classes per day.,I'm rebuilding my routinekeep me on Tuesday and Friday with at most 1 classes per day.,I'm rebuilding my routinekeep me on Tuesday and Friday with at most 3 classes per day.,{number_of_classes},I'm rebuilding my routinekeep me on Wednesday and Thursday with at most 3 classes per day.,{days};{number_of_classes},I'm rebuilding my routinekeep me on Tuesday with at most 3 classes per day.,I'm rebuilding my routinekeep me on Tuesday with at most 2 classes per day.,{number_of_classes},I'm rebuilding my routinekeep me on Friday with at most 1 classes per day.,{days};{number_of_classes},2
Focus on {days} and only courses at {course_level_minimum}-level or higher.,Focus on Monday and Friday and only courses at 400-level or higher.,Focus on Monday and Friday and only courses at 200-level or higher.,{course_level_minimum},Focus on Tuesday and Thursday and only courses at 300-level or higher.,{course_level_minimum};{days},Focus on Tuesday and Wednesday and only courses at 200-level or higher.,Focus on Monday and Friday and only courses at 200-level or higher.,{days},Focus on Monday and Wednesday and only courses at 300-level or higher.,{course_level_minimum};{days},3
I'm easing back to campus; keep classes in the {time_of_day} and max {number_of_classes} per day.,I'm easing back to campus; keep classes in the evening and max 2 per day.,I'm easing back to campus; keep classes in the evening and max 3 per day.,{number_of_classes},I'm easing back to campus; keep classes in the morning and max 1 per day.,{number_of_classes};{time_of_day},I'm easing back to campus; keep classes in the morning and max 2 per day.,I'm easing back to campus; keep classes in the morning and max 1 per day.,{number_of_classes},I'm easing back to campus; keep classes in the afternoon and max 1 per day.,{number_of_classes};{time_of_day},4
I prefer the {time_of_day}; please choose courses at or above {course_level_minimum}-level.,I prefer the evening; please choose courses at or above 300-level.,I prefer the evening; please choose courses at or above 400-level.,{course_level_minimum},I prefer the morning; please choose courses at or above 200-level.,{course_level_minimum};{time_of_day},I prefer the evening; please choose courses at or above 200-level.,I prefer the morning; please choose courses at or above 200-level.,{time_of_day},I prefer the morning; please choose courses at or above 400-level.,{course_level_minimum};{time_of_day},5
Limit my day to {number_of_classes} classes and keep them {course_level_minimum}-level or higher.,Limit my day to 3 classes and keep them 400-level or higher.,Limit my day to 2 classes and keep them 400-level or higher.,{number_of_classes},Limit my day to 1 classes and keep them 200-level or higher.,{number_of_classes};{course_level_minimum},Limit my day to 2 classes and keep them 200-level or higher.,Limit my day to 3 classes and keep them 200-level or higher.,{number_of_classes},Limit my day to 1 classes and keep them 400-level or higher.,{number_of_classes};{course_level_minimum},6
"To avoid commute traffic, schedule me only on {days} in the {time_of_day}.","To avoid commute traffic, schedule me only on Wednesday and Thursday in the morning.","To avoid commute traffic, schedule me only on Monday and Friday in the morning.",{days},"To avoid commute traffic, schedule me only on Monday and Thursday in the evening.",{time_of_day};{days},"To avoid commute traffic, schedule me only on Wednesday and Friday in the evening.","To avoid commute traffic, schedule me only on Thursday in the evening.",{days},"To avoid commute traffic, schedule me only on Wednesday in the morning.",{time_of_day};{days},7
Please schedule only on {days} and cap it at {number_of_classes} classes each day.,Please schedule only on Tuesday and Friday and cap it at 3 classes each day.,Please schedule only on Tuesday and Friday and cap it at 1 classes each day.,{number_of_classes},Please schedule only on Tuesday and Wednesday and cap it at 2 classes each day.,{number_of_classes};{days},Please schedule only on Thursday and cap it at 3 classes each day.,Please schedule only on Thursday and cap it at 2 classes each day.,{number_of_classes},Please schedule only on Monday and cap it at 1 classes each day.,{number_of_classes};{days},8
Schedule me on {days} with classes at or above {course_level_minimum}-level.,Schedule me on Monday with classes at or above 300-level.,Schedule me on Tuesday with classes at or above 300-level.,{days},Schedule me on Tuesday with classes at or above 400-level.,{course_level_minimum};{days},Schedule me on Tuesday and Thursday with classes at or above 200-level.,Schedule me on Tuesday and Thursday with classes at or above 400-level.,{course_level_minimum},Schedule me on Monday and Friday with classes at or above 400-level.,{days};{course_level_minimum},9
Schedule me in the {time_of_day} and cap it at {number_of_classes} classes a day.,Schedule me in the afternoon and cap it at 2 classes a day.,Schedule me in the morning and cap it at 2 classes a day.,{time_of_day},Schedule me in the morning and cap it at 3 classes a day.,{time_of_day};{number_of_classes},Schedule me in the morning and cap it at 2 classes a day.,Schedule me in the evening and cap it at 2 classes a day.,{time_of_day},Schedule me in the afternoon and cap it at 1 classes a day.,{time_of_day};{number_of_classes},10
Keep my classes {time_of_day} and meet the {course_level_minimum}-level minimum.,Keep my classes morning and meet the 200-level minimum.,Keep my classes morning and meet the 400-level minimum.,{course_level_minimum},Keep my classes afternoon and meet the 300-level minimum.,{time_of_day};{course_level_minimum},Keep my classes morning and meet the 400-level minimum.,Keep my classes evening and meet the 400-level minimum.,{time_of_day},Keep my classes afternoon and meet the 300-level minimum.,{time_of_day};{course_level_minimum},11
